Time,Status,Data0,Data1
0,176,80,7 # Preset
1000,144,36,63 # On
1010,144,43,63 # On
1020,144,48,63 # On
1030,144,52,63 # On
1040,144,55,63 # On
180000,128,36,0 # Off
180010,128,43,0 # Off
180020,128,48,0 # Off
180030,128,52,0 # Off
180040,128,55,0 # Off
180100,144,36,63 # On
180110,144,44,63 # On
180120,144,48,63 # On
180130,144,52,63 # On
180140,144,56,63 # On
230000,128,36,0 # Off
230010,128,44,0 # Off
230020,128,48,0 # Off
230030,128,52,0 # Off
230040,128,56,0 # Off
250100,144,36,63 # On
250110,144,43,63 # On
250120,144,48,63 # On
250130,144,52,63 # On
250140,144,55,63 # On
530000,128,36,0 # Off
530010,128,43,0 # Off
530020,128,48,0 # Off
530030,128,52,0 # Off
530040,128,55,0 # Off
