ID,Status,Data0,Data1,Comment
0,176,21,2,FP90 GRAND
0,176,22,127,Note stealing
0,176,10,13,Cutoff
0,176,44,0,Resonance
0,176,70,127,Env1 amount
0,176,20,0,Env1 velocity
0,176,83,0,Env1 attack
0,176,89,0,Env1 decay
0,176,85,127,Env1 sustain
0,176,82,5,Env1 release
0,176,19,100,Env2 amount
0,176,74,127,Env2 velocity
0,176,73,0,Env2 attack
0,176,79,0,Env2 decay
0,176,75,127,Env2 sustain
0,176,72,127,Env2 release
1,176,21,3,FP90 UPRIGHT
1,176,10,13,Cutoff
1,176,22,127,Note stealing
1,176,44,0,Resonance
1,176,70,127,Env1 amount
1,176,20,0,Env1 velocity
1,176,83,0,Env1 attack
1,176,89,0,Env1 decay
1,176,85,127,Env1 sustain
1,176,82,5,Env1 release
1,176,19,100,Env2 amount
1,176,74,127,Env2 velocity
1,176,73,0,Env2 attack
1,176,79,0,Env2 decay
1,176,75,127,Env2 sustain
1,176,72,127,Env2 release
2,176,21,1,NORD GRAND
2,176,22,127,Note stealing
2,176,10,13,Cutoff
2,176,44,0,Resonance
2,176,70,127,Env1 amount
2,176,20,0,Env1 velocity
2,176,83,0,Env1 attack
2,176,89,0,Env1 decay
2,176,85,127,Env1 sustain
2,176,82,5,Env1 release
2,176,19,100,Env2 amount
2,176,74,127,Env2 velocity
2,176,73,0,Env2 attack
2,176,79,0,Env2 decay
2,176,75,127,Env2 sustain
2,176,72,127,Env2 release
3,176,21,4,P-BASS
3,176,22,127,Note stealing
3,176,10,12,Cutoff
3,176,44,0,Resonance
3,176,70,127,Env1 amount
3,176,20,0,Env1 velocity
3,176,83,0,Env1 attack
3,176,89,0,Env1 decay
3,176,85,127,Env1 sustain
3,176,82,5,Env1 release
3,176,19,46,Env2 amount
3,176,74,127,Env2 velocity
3,176,73,0,Env2 attack
3,176,79,0,Env2 decay
3,176,75,127,Env2 sustain
3,176,72,127,Env2 release
4,176,21,0,SYNTH PIANO1
4,176,22,127,Note stealing
4,176,10,0,Cutoff
4,176,44,0,Resonance
4,176,70,127,Env1 amount
4,176,20,0,Env1 velocity
4,176,83,0,Env1 attack
4,176,89,100,Env1 decay
4,176,85,0,Env1 sustain
4,176,82,5,Env1 release
4,176,19,127,Env2 amount
4,176,74,127,Env2 velocity
4,176,73,0,Env2 attack
4,176,79,0,Env2 decay
4,176,75,127,Env2 sustain
4,176,72,127,Env2 release
5,176,21,0,SYNTH PIANO2
5,176,22,127,Note stealing
5,176,10,23,Cutoff
5,176,44,0,Resonance
5,176,70,127,Env1 amount
5,176,20,0,Env1 velocity
5,176,83,0,Env1 attack
5,176,89,100,Env1 decay
5,176,85,0,Env1 sustain
5,176,82,5,Env1 release
5,176,19,80,Env2 amount
5,176,74,127,Env2 velocity
5,176,73,0,Env2 attack
5,176,79,26,Env2 decay
5,176,75,0,Env2 sustain
5,176,72,127,Env2 release
6,176,21,0,SYNTH PAD1
6,176,22,127,Note stealing
6,176,10,40,Cutoff
6,176,44,0,Resonance
6,176,70,70,Env1 amount
6,176,20,0,Env1 velocity
6,176,83,10,Env1 attack
6,176,89,0,Env1 decay
6,176,85,127,Env1 sustain
6,176,82,30,Env1 release
6,176,19,87,Env2 amount
6,176,74,0,Env2 velocity
6,176,73,10,Env2 attack
6,176,79,127,Env2 decay
6,176,75,0,Env2 sustain
6,176,72,127,Env2 release
7,176,21,5,JUPYTER PAD 1
7,176,22,127,Note stealing
7,176,10,127,Cutoff
7,176,44,0,Resonance
7,176,70,70,Env1 amount
7,176,20,0,Env1 velocity
7,176,83,0,Env1 attack
7,176,89,0,Env1 decay
7,176,85,127,Env1 sustain
7,176,82,10,Env1 release
7,176,19,0,Env2 amount
7,176,74,0,Env2 velocity
7,176,73,0,Env2 attack
7,176,79,0,Env2 decay
7,176,75,127,Env2 sustain
7,176,72,127,Env2 release
8,176,21,6,ZEBRA CELLO1
8,176,22,127,Note stealing
8,176,10,127,Cutoff
8,176,44,0,Resonance
8,176,70,70,Env1 amount
8,176,20,0,Env1 velocity
8,176,83,10,Env1 attack
8,176,89,0,Env1 decay
8,176,85,127,Env1 sustain
8,176,82,10,Env1 release
8,176,19,0,Env2 amount
8,176,74,0,Env2 velocity
8,176,73,0,Env2 attack
8,176,79,0,Env2 decay
8,176,75,127,Env2 sustain
8,176,72,127,Env2 release
9,176,21,7,BOUNCE BASS
9,176,22,127,Note stealing
9,176,10,127,Cutoff
9,176,44,0,Resonance
9,176,70,127,Env1 amount
9,176,20,0,Env1 velocity
9,176,83,0,Env1 attack
9,176,89,0,Env1 decay
9,176,85,127,Env1 sustain
9,176,82,10,Env1 release
9,176,19,0,Env2 amount
9,176,74,0,Env2 velocity
9,176,73,0,Env2 attack
9,176,79,0,Env2 decay
9,176,75,127,Env2 sustain
9,176,72,127,Env2 release
